sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.192,1,0.0580019,0.307399,-22.082,12.4574,-0.33894,0.01811,0.045,62.1,0.321395,0.000954109,-0.000895755,-0.0391028,0.0190907,0.00935552,0.00897494,0.00484833,0.00459683,0.00745869,0.0043305,-0.00447921,-0.00257505,0.00123258,0.000754487,-0.00247355,-0.00161885,-0.00146822,0.00389705,0.00206327,-0.0032628,0.000868533
1,1.192,2,-20.3604,20.7315,-42.5004,32.8815,-0.40133,-0.04376,0.047,64.86,-0.538133,0.00108196,-0.00127688,-0.0377023,0.0242444,0.0111426,0.00788418,0.00160287,0.0081631,0.00568124,0.00526601,-0.00450486,-0.00275278,0.00196602,0.00117783,-0.00320329,-0.00241054,-0.00189463,0.00432293,0.0013568,-0.00318148,0.00102188
1,1.192,3,-20.3732,-20.1131,-42.5132,-7.96312,-0.39901,0.07729,0.045,62.1,0.185792,0.00135556,-0.0015526,-0.0329793,0.0228652,0.0156125,0.00073489,0.0105355,0.00386213,0.0124772,0.00357624,-0.0041894,-0.00241076,0.00123813,0.000230688,-0.002605,-0.00292443,-0.00236371,0.00394359,0.00106076,-0.00370142,0.00135417
1,1.192,4,20.4764,-20.1107,-1.66356,-7.9607,-0.27643,0.07949,0.045,62.1,0.179009,0.000968013,-0.000710274,-0.0402303,0.0169797,0.00857838,0.00951623,0.00830742,-0.00138307,0.00794165,0.0040268,-0.00508896,-0.00196968,0.000689372,0.000296466,-0.00250774,-0.00242914,-0.00139479,0.00373745,0.00159191,-0.00410164,0.00126594
1,1.192,5,20.4885,20.7281,-1.65151,32.8781,-0.27806,-0.042,0.037,51.06,0.686764,0.000517632,-0.000110858,-0.0300542,0.015361,0.00421799,0.0152288,0.00212407,0.00305226,0.00418612,0.00487113,-0.00588404,-0.00223991,0.00122686,0.00129567,-0.00192161,-0.00268727,-0.00221284,0.00336591,0.00197519,-0.00343779,0.00153584
1,1.293,1,0.0579057,0.307438,-22.0821,12.4574,-0.34003,0.14753,0.063,58.401,-0.209683,0.00215426,-0.00204069,-0.038615,0.0312233,0.0248643,-0.00389161,0.0204946,-0.00286971,0.0218556,0.0059428,-0.00802578,-0.00363603,0.00258178,0.000205379,-0.00331513,-0.00362254,-0.00365066,0.00569118,0.00290536,-0.00439503,0.00191442
1,1.293,2,-20.3606,20.7316,-42.5006,32.8816,-0.40227,0.0866,0.066,61.182,0.299681,0.00202581,-0.00242888,-0.0437151,0.0340067,0.0248496,-0.000678116,0.0172441,0.00525778,0.0196375,0.00548821,-0.00642811,-0.00379828,0.00188908,0.00032359,-0.00378388,-0.00451785,-0.00368743,0.00604417,0.00178793,-0.00565293,0.00164258
1,1.293,3,-20.3734,-20.1132,-42.5134,-7.96317,-0.39939,0.20514,0.079,73.233,-3.73875,0.00239407,-0.0025005,0.0156488,0.0360915,0.0398531,-0.0277848,0.0330126,-0.00240954,0.0321321,0.00478087,-0.00812262,-0.00383284,0.00187469,0.000422057,-0.00472779,-0.00285296,-0.00297142,0.00646476,0.00224649,-0.00463491,0.000681625
1,1.293,4,20.4764,-20.1108,-1.66357,-7.96075,-0.27776,0.2078,0.062,57.474,-0.354063,0.00281703,-0.00214628,-0.0250763,0.0320139,0.0269211,-0.0111301,0.0246321,-0.0117886,0.0222523,0.00477868,-0.00930119,-0.00326613,0.00190433,0.000716298,-0.00270736,-0.00276841,-0.0035389,0.00517863,0.0022241,-0.00542241,0.00179158
1,1.293,5,20.4885,20.7282,-1.65152,32.8782,-0.27979,0.08886,0.066,61.182,-0.634037,0.00145771,-0.00101767,-0.057386,0.0257068,0.0138003,0.0127812,0.0130852,-0.00254849,0.0127352,0.00619533,-0.00775516,-0.00298601,0.00114225,0.000282008,-0.00366947,-0.00370886,-0.00211947,0.00581063,0.00261383,-0.00631546,0.00191536
